UnitID,232265,131520,199157,234155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institution Name,Hampton University,Howard University,North Carolina Central University,Virginia State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admissions men (ADM2018),2561,1844,1884,2117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admissions women (ADM2018),6091,4773,4188,4266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admissions men (ADM2017),922,1916,1701,1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admissions women (ADM2017),3469,5048,3823,3829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admissions men (ADM2016),2091,1637,1814,1912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admissions women (ADM2016),5146,3831,3930,3494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admissions men (ADM2015),2152,2321,1650,1771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admissions women (ADM2015),4931,5115,3390,3348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admissions men (ADM2014),1811,2003,1567,1897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admissions women (ADM2014),3848,4658,3293,2845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admissions men (IC2013),1769,1791,1428,1851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admissions women (IC2013),3760,3971,3044,3568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admissions men (IC2012),1691,1456,1561,1707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admissions women (IC2012),3594,3401,3221,3441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admissions men (IC2011),1158,1404,1528,1455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admissions women (IC2011),2759,3386,3267,2848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admissions men (IC2010),1425,1593,1230,1394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admissions women (IC2010),2648,3383,2337,2831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admissions men (IC2009),,1593,755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admissions women (IC2009),,3383,1505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admissions men (IC2008),1203,1489,958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admissions women (IC2008),2235,3242,1627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admissions men (IC2007),,1220,742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admissions women (IC2007),,2860,1554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admissions men (IC2006),1347,1295,817,1063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admissions women (IC2006),2786,2840,1728,2080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admissions men (IC2005),,1326,783,1044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admissions women (IC2005),,2830,1553,1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admissions men (IC2004),1802,1326,702,1044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admissions women (IC2004),4075,2830,1444,1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admissions men (IC2003),1774,1213,627,1018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admissions women (IC2003),3018,2769,1288,1734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admissions men (IC2002),1297,1323,575,1018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admissions women (IC2002),2208,2877,1099,1734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admissions men (IC2001),1042,1318,542,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admissions women (IC2001),2238,2815,865,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABOVE TRANSPOSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UnitID,Institution Name,Admissions men (ADM2018),Admissions women (ADM2018),Admissions men (ADM2017),Admissions women (ADM2017),Admissions men (ADM2016),Admissions women (ADM2016),Admissions men (ADM2015),Admissions women (ADM2015),Admissions men (ADM2014),Admissions women (ADM2014),Admissions men (IC2013),Admissions women (IC2013),Admissions men (IC2012),Admissions women (IC2012),Admissions men (IC2011),Admissions women (IC2011),Admissions men (IC2010),Admissions women (IC2010),Admissions men (IC2009),Admissions women (IC2009),Admissions men (IC2008),Admissions women (IC2008),Admissions men (IC2007),Admissions women (IC2007),Admissions men (IC2006),Admissions women (IC2006),Admissions men (IC2005),Admissions women (IC2005),Admissions men (IC2004),Admissions women (IC2004),Admissions men (IC2003),Admissions women (IC2003),Admissions men (IC2002),Admissions women (IC2002),Admissions men (IC2001),Admissions women (IC2001)
232265,Hampton University,2561,6091,922,3469,2091,5146,2152,4931,1811,3848,1769,3760,1691,3594,1158,2759,1425,2648,,,1203,2235,,,1347,2786,,,1802,4075,1774,3018,1297,2208,1042,2238
131520,Howard University,1844,4773,1916,5048,1637,3831,2321,5115,2003,4658,1791,3971,1456,3401,1404,3386,1593,3383,1593,3383,1489,3242,1220,2860,1295,2840,1326,2830,1326,2830,1213,2769,1323,2877,1318,2815
199157,North Carolina Central University,1884,4188,1701,3823,1814,3930,1650,3390,1567,3293,1428,3044,1561,3221,1528,3267,1230,2337,755,1505,958,1627,742,1554,817,1728,783,1553,702,1444,627,1288,575,1099,542,865
234155,Virginia State University,2117,4266,1917,3829,1912,3494,1771,3348,1897,2845,1851,3568,1707,3441,1455,2848,1394,2831,,,,,,,1063,2080,1044,1952,1044,1952,1018,1734,1018,1734,999,1597
